species,year,germ,survive,seedlings_per_m2,lx,bx,lxbx,seeds_per_m2,germ fraction,,,,,,,,
mobe,2007,6,0,1.053,0,.,0,4.879,0.177,,,,,,,,
pere,2007,1142,327,200.351,0.286,23.324,6.679,275.039,0.421,,,,,,,,
plin,2007,15,3,2.632,0.2,203.653,40.731,4.852,0.352,,,,,,,,
plpa,2007,52,14,9.123,0.269,135.11,36.376,2.426,0.79,,,,,,,,
scba,2007,268,84,47.018,0.313,23.333,7.313,285.069,0.142,,,,,,,,
stmi,2007,10,2,1.754,0.2,20.88,4.176,256.369,0.007,,,,,,,,
vuoc,2007,0,0,0,.,.,0,21.914,0,,,,,,,,
dapu,2008,38,29,6.552,0.763,39.034,29.789,118.504,0.052,,,,,,,,
drcu,2008,218,113,37.586,0.518,775.935,402.205,36.066,0.51,,,,,,,,
erci,2008,80,70,13.793,0.875,69.592,60.893,25.762,0.349,,,,,,,,
erla,2008,361,275,62.241,0.762,198.494,151.207,36.066,0.633,,,,,,,,
erte,2008,39,34,6.724,0.872,91.97,80.179,15.457,0.303,,,,,,,,
eumi,2008,350,105,60.345,0.3,699.075,209.722,92.742,0.394,,,,,,,,
evmu,2008,282,210,48.621,0.745,306.888,228.534,262.77,0.156,,,,,,,,
lare,2008,16,16,2.759,1,46.286,46.286,30.914,0.082,,,,,,,,
mobe,2008,143,96,24.655,0.671,145.402,97.613,5.152,0.827,,,,,,,,
pere,2008,299,194,51.552,0.649,271.355,176.063,443.102,0.104,,,,,,,,
plin,2008,21,17,3.621,0.81,161.7,130.9,0,1,,,,,,,,
plpa,2008,24,19,4.138,0.792,138.75,109.844,15.457,0.211,,,,,,,,
scba,2008,232,185,40,0.797,575.187,458.662,195.789,0.17,,,,,,,,
stmi,2008,68,26,11.724,0.382,147.425,56.369,30.914,0.275,,,,,,,,
vuoc,2008,12,10,2.069,0.833,166.089,138.407,10.305,0.167,,,,,,,,
dapu,2009,43,11,7.414,0.256,7.8,1.995,72.133,0.093,,,,,,,,
drcu,2009,257,4,44.31,0.016,26.7,0.416,51.523,0.462,,,,,,,,
erci,2009,114,39,19.655,0.342,13.676,4.679,92.742,0.175,,,,,,,,
erla,2009,86,20,14.828,0.233,17.68,4.112,901.661,0.016,,,,,,,,
erte,2009,27,20,4.655,0.741,20.75,15.37,15.457,0.231,,,,,,,,
eumi,2009,122,10,21.034,0.082,9,0.738,226.703,0.085,,,,,,,,
evmu,2009,47,0,8.103,0,.,0,587.367,0.014,,,,,,,,
lare,2009,94,10,16.207,0.106,6.667,0.709,51.523,0.239,,,,,,,,
mobe,2009,77,23,13.276,0.299,38.675,11.552,10.305,0.563,,,,,,,,
pere,2009,4638,1395,799.655,0.301,11.197,3.368,3029.579,0.209,,,,,,,,
plin,2009,35,9,6.034,0.257,23.111,5.943,5.152,0.539,,,,,,,,
plpa,2009,92,29,15.862,0.315,9.172,2.891,15.457,0.506,,,,,,,,
scba,2009,450,223,77.586,0.496,45.932,22.762,602.824,0.114,,,,,,,,
stmi,2009,42,2,7.241,0.048,14.6,0.695,72.133,0.091,,,,,,,,
vuoc,2009,51,6,8.793,0.118,10.933,1.286,0,1,,,,,,,,
dapu,2010,78,54,13.448,0.692,8.647,5.986,180.332,0.069,,,,,,,,
drcu,2010,926,523,159.655,0.565,153.204,86.529,5.152,0.969,,,,,,,,
erci,2010,151,129,26.034,0.854,23.032,19.676,139.113,0.158,,,,,,,,
erla,2010,1238,1110,213.448,0.897,52.608,47.169,757.395,0.22,,,,,,,,
erte,2010,58,56,10,0.966,26.731,25.809,108.199,0.085,,,,,,,,
eumi,2010,499,411,86.034,0.824,167.699,138.124,649.196,0.117,,,,,,,,
evmu,2010,1050,924,181.034,0.88,55.548,48.882,340.055,0.347,,,,,,,,
lare,2010,93,63,16.034,0.677,37.208,25.205,118.504,0.119,,,,,,,,
mobe,2010,215,195,37.069,0.907,29.933,27.149,0,1,,,,,,,,
pere,2010,1953,1389,336.724,0.711,35.925,25.551,886.203,0.275,,,,,,,,
plin,2010,65,55,11.207,0.846,20.769,17.574,5.152,0.685,,,,,,,,
plpa,2010,111,85,19.138,0.766,20.646,15.81,0,1,,,,,,,,
scba,2010,950,818,163.793,0.861,112.052,96.483,453.406,0.265,,,,,,,,
stmi,2010,73,42,12.586,0.575,15.916,9.157,51.523,0.196,,,,,,,,
vuoc,2010,34,34,5.862,1,75.3,75.3,5.152,0.532,,,,,,,,
dapu,2011,0,0,0,.,.,0,285.9551947,0,,,,,,,,
drcu,2011,25,0,4.310344828,0,.,0,914.5413884,0.004691012,,,,,,,,
erci,2011,130,0,22.4137931,0,.,0,10.3046917,0.68504985,,,,,,,,
erla,2011,3,0,0.517241379,0,.,0,966.0648469,0.000535124,,,,,,,,
erte,2011,23,0,3.965517241,0,.,0,56.67580435,0.065392988,,,,,,,,
eumi,2011,0,0,0,.,.,0,1380.828688,0,,,,,,,,
evmu,2011,0,0,0,.,.,0,2344.317362,0,,,,,,,,
lare,2011,58,0,10,0,.,0,77.28518775,0.114566976,,,,,,,,
mobe,2011,1,0,0.172413793,0,.,0,5.15234585,0.032379639,,,,,,,,
pere,2011,383,0,66.03448276,0,.,0,2769.385894,0.023289133,,,,,,,,
plin,2011,7,1,1.206896552,0.142857143,4,0.571428571,28.33790218,0.040849713,,,,,,,,
plpa,2011,1,0,0.172413793,0,.,0,97.89457115,0.001758123,,,,,,,,
scba,2011,1317,27,227.0689655,0.020501139,15.2,0.311617312,669.8049605,0.253178244,,,,,,,,
stmi,2011,1,0,0.172413793,0,.,0,0,1,,,,,,,,
vuoc,2011,7,0,1.206896552,0,.,0,25.76172925,0.044751874,,,,,,,,
dapu,2012,45,17,7.75862069,0.377777778,9.8,3.702222222,64.40432313,0.107515302,,,,,,,,
drcu,2012,379,144,65.34482759,0.37994723,58.33841406,22.1655188,25.76172925,0.717235179,,,,,,,,
erci,2012,116,83,20,0.715517241,23.83928571,17.05741995,0,1,,,,,,,,
erla,2012,1775,745,306.0344828,0.41971831,24.91823917,10.45864123,61.8281502,0.831925984,,,,,,,,
erte,2012,97,74,16.72413793,0.762886598,24.50819672,18.69697482,7.728518775,0.683939505,,,,,,,,
eumi,2012,974,240,167.9310345,0.246406571,50.25556378,12.38330114,157.1465484,0.516587557,,,,,,,,
evmu,2012,639,121,110.1724138,0.189358372,35.90083368,6.798123436,301.4122322,0.267678629,,,,,,,,
lare,2012,37,20,6.379310345,0.540540541,25.64705882,13.86327504,10.3046917,0.382360918,,,,,,,,
mobe,2012,50,21,8.620689655,0.42,27.88126025,11.71012931,0,1,,,,,,,,
pere,2012,2137,1320,368.4482759,0.617688348,36.1369863,22.32139538,285.9551947,0.56302922,,,,,,,,
plin,2012,116,62,20,0.534482759,23.11678709,12.35552413,0,1,,,,,,,,
plpa,2012,53,33,9.137931034,0.622641509,22.59987547,14.07162057,7.728518775,0.541781533,,,,,,,,
scba,2012,1025,636,176.7241379,0.620487805,181.5946999,112.6772967,100.4707441,0.637544736,,,,,,,,
stmi,2012,455,48,78.44827586,0.105494505,17.74338722,1.871829861,10.3046917,0.88389468,,,,,,,,
vuoc,2012,75,51,12.93103448,0.68,33.22743692,22.59465711,0,1,,,,,,,,
dapu,2013,3,1,0.517241379,0.333333333,4,1.333333333,30.9140751,0.016456243,,,,,,,,
drcu,2013,8,1,1.379310345,0.125,30.8640976,3.858012199,15.45703755,0.081924557,,,,,,,,
erci,2013,111,51,19.13793103,0.459459459,10.44444444,4.798798799,15.45703755,0.553199839,,,,,,,,
erla,2013,341,83,58.79310345,0.24340176,14.14500022,3.442917942,283.3790218,0.171823182,,,,,,,,
erte,2013,58,32,10,0.551724138,10.66666667,5.885057471,38.64259388,0.205581142,,,,,,,,
eumi,2013,10,0,1.724137931,0,.,0,453.4064348,0.003788227,,,,,,,,
evmu,2013,24,2,4.137931034,0.083333333,.,.,108.1992629,0.036834915,,,,,,,,
lare,2013,2,1,0.344827586,0.5,28,14,10.3046917,0.032379639,,,,,,,,
mobe,2013,31,12,5.344827586,0.387096774,38.53030378,14.9149563,0,1,,,,,,,,
pere,2013,2144,1451,369.6551724,0.676772388,21.61502347,14.62845105,515.234585,0.417741498,,,,,,,,
plin,2013,59,24,10.17241379,0.406779661,21.22222222,8.632768362,12.88086463,0.44125671,,,,,,,,
plpa,2013,33,20,5.689655172,0.606060606,15,9.090909091,7.728518775,0.424026041,,,,,,,,
scba,2013,683,521,117.7586207,0.762811127,10.69386354,8.157398103,352.9356907,0.250180675,,,,,,,,
stmi,2013,38,8,6.551724138,0.210526316,7.749999762,1.631578897,283.3790218,0.022597549,,,,,,,,
vuoc,2013,14,8,2.413793103,0.571428571,9.695871162,5.540497807,15.45703755,0.135068881,,,,,,,,
dapu,2014,10,2,1.724137931,0.2,12,2.4,38.64259388,0.042711853,,,,,,,,
drcu,2014,173,23,29.82758621,0.132947977,22.56333351,2.999749542,113.3516087,0.208323466,,,,,,,,
erci,2014,86,16,14.82758621,0.186046512,11.53846154,2.146690519,12.88086463,0.535128662,,,,,,,,
erla,2014,821,162,141.5517241,0.197320341,28.35365854,5.594753572,100.4707441,0.584870178,,,,,,,,
erte,2014,59,40,10.17241379,0.677966102,19.07894737,12.93487957,5.15234585,0.663789451,,,,,,,,
eumi,2014,237,64,40.86206897,0.270042194,23.71692276,6.404569859,370.9689012,0.099220486,,,,,,,,
evmu,2014,128,21,22.06896552,0.1640625,41.95526339,6.8832854,342.630999,0.060512662,,,,,,,,
lare,2014,4,0,0.689655172,0,.,0,7.728518775,0.081924557,,,,,,,,
mobe,2014,59,20,10.17241379,0.338983051,39.09411711,13.25224309,2.576172925,0.797924822,,,,,,,,
pere,2014,1966,1000,338.9655172,0.508646999,14.22485207,7.235428317,270.4981571,0.556170173,,,,,,,,
plin,2014,43,26,7.413793103,0.604651163,22.72727273,13.74207188,5.15234585,0.589981786,,,,,,,,
plpa,2014,27,10,4.655172414,0.37037037,16.22222222,6.008230453,0,1,,,,,,,,
scba,2014,1282,747,221.0344828,0.582683307,49.01036806,28.55752335,314.2930969,0.412895751,,,,,,,,
stmi,2014,28,11,4.827586207,0.392857143,29.66857038,11.65550979,141.6895109,0.032948962,,,,,,,,
vuoc,2014,1,1,0.172413793,1,52.29999924,52.29999924,2.576172925,0.062728162,,,,,,,,
dapu,2015,12,6,2.068965517,0.5,18.66666667,9.333333333,0,1,,,,,,,,
drcu,2015,59,15,10.17241379,0.254237288,181.2716629,46.08601598,18.03321048,0.360651964,,,,,,,,
erci,2015,9,4,1.551724138,0.444444444,131.25,58.33333333,2.576172925,0.375911539,,,,,,,,
erla,2015,304,198,52.4137931,0.651315789,97.89890841,63.76310482,110.7754358,0.321184146,,,,,,,,
erte,2015,36,29,6.206896552,0.805555556,172.0689655,138.6111111,0,1,,,,,,,,
eumi,2015,89,20,15.34482759,0.224719101,74.92333444,16.83670437,203.5176611,0.070111729,,,,,,,,
evmu,2015,121,16,20.86206897,0.132231405,245.4436354,32.45535675,56.67580435,0.269056502,,,,,,,,
lare,2015,0,0,0,.,.,0,0,0,,,,,,,,
mobe,2015,84,65,14.48275862,0.773809524,93.57882062,72.41218262,0,1,,,,,,,,
pere,2015,1047,325,180.5172414,0.310410697,21.59525426,6.703397931,46.37111265,0.795621451,,,,,,,,
plin,2015,36,24,6.206896552,0.666666667,43.14666663,28.76444442,20.6093834,0.231460015,,,,,,,,
plpa,2015,38,27,6.551724138,0.710526316,37.63411847,26.74003155,2.576172925,0.717769284,,,,,,,,
scba,2015,817,356,140.862069,0.435740514,430.6962724,187.6718152,252.4649467,0.358129656,,,,,,,,
stmi,2015,9,0,1.551724138,0,.,0,64.40432313,0.023526639,,,,,,,,
vuoc,2015,2,2,0.344827586,1,75.91499901,75.91499901,46.37111265,0.007381369,,,,,,,,
dapu,2016,59,21,10.17241379,0.355932203,25.66666667,9.13559322,.,.,,,,,,,,
drcu,2016,144,38,24.82758621,0.263888889,69.4222223,18.31975311,.,.,,,,,,,,
erci,2016,50,30,8.620689655,0.6,13.54166667,8.125,.,.,,,,,,,,
erla,2016,134,27,23.10344828,0.201492537,36.70727218,7.39624141,.,.,,,,,,,,
erte,2016,72,51,12.4137931,0.708333333,16.12244898,11.42006803,.,.,,,,,,,,
eumi,2016,19,5,3.275862069,0.263157895,.,.,.,.,,,,,,,,
evmu,2016,172,34,29.65517241,0.197674419,281.7286996,55.69055689,.,.,,,,,,,,
lare,2016,2,0,0.344827586,0,.,0,.,.,,,,,,,,
mobe,2016,211,80,36.37931034,0.379146919,50.46428571,19.13337847,.,.,,,,,,,,
pere,2016,699,189,120.5172414,0.270386266,6.637931034,1.794805387,.,.,,,,,,,,
plin,2016,848,605,146.2068966,0.713443396,12.38235294,8.834107936,.,.,,,,,,,,
plpa,2016,183,125,31.55172414,0.683060109,17.13636364,11.70516642,.,.,,,,,,,,
scba,2016,5705,3262,983.6206897,0.571779141,110.105465,62.95600822,.,.,,,,,,,,
stmi,2016,78,24,13.44827586,0.307692308,54.6,16.8,.,.,,,,,,,,
vuoc,2016,0,0,0,.,.,0,.,.,,,,,,,,
