species,year,germ,survive,seedlings_per_m2,lx,bx,lxbx,seeds_per_m2,germ fraction,,,,,,,,
plin,1990,8,6,2.192,0.75,47.333,35.5,2.425,0.475,,,,,,,,
plpa,1990,5,0,1.37,0,.,0,7.275,0.158,,,,,,,,
scba,1990,24,15,6.575,0.625,117.867,73.667,97.03,0.063,,,,,,,,
stmi,1990,0,0,0,.,.,0,4.85,0,,,,,,,,
vuoc,1990,2,2,0.548,1,42,42,2.425,0.184,,,,,,,,
dapu,1991,28,6,6.829,0.214,287.5,61.607,2.425,0.738,,,,,,,,
drcu,1991,12,1,2.927,0.083,.,.,2.425,0.547,,,,,,,,
erci,1991,4,3,0.976,0.75,10,7.5,0,1,,,,,,,,
erla,1991,55,22,13.415,0.4,161.063,64.425,0,1,,,,,,,,
erte,1991,23,10,5.61,0.435,27.778,12.077,0,1,,,,,,,,
eumi,1991,30,3,7.317,0.1,.,.,2.425,0.751,,,,,,,,
evmu,1991,44,23,10.732,0.523,220.385,115.201,123.715,0.08,,,,,,,,
lare,1991,1,1,0.244,1,.,.,0,1,,,,,,,,
mobe,1991,35,6,8.537,0.171,79.8,13.68,0,1,,,,,,,,
pere,1991,13,3,3.171,0.231,270.667,62.462,0,1,,,,,,,,
plin,1991,13,8,3.171,0.615,112.5,69.231,0,1,,,,,,,,
plpa,1991,88,35,21.463,0.398,79.067,31.447,4.85,0.816,,,,,,,,
scba,1991,100,46,24.39,0.46,113,51.98,281.39,0.08,,,,,,,,
stmi,1991,0,0,0,.,.,0,2.425,0,,,,,,,,
vuoc,1991,8,3,1.951,0.375,.,.,0,1,,,,,,,,
dapu,1992,18,9,4.286,0.5,40.889,20.444,21.83,0.164,,,,,,,,
drcu,1992,15,4,3.571,0.267,58.25,15.533,0,1,,,,,,,,
erci,1992,35,31,8.333,0.886,39.355,34.857,0,1,,,,,,,,
erla,1992,116,74,27.619,0.638,125.781,80.24,0,1,,,,,,,,
erte,1992,22,10,5.238,0.455,131.5,59.773,0,1,,,,,,,,
eumi,1992,50,13,11.905,0.26,23.545,6.122,31.535,0.274,,,,,,,,
evmu,1992,75,36,17.857,0.48,93.814,45.031,41.24,0.302,,,,,,,,
lare,1992,2,1,0.476,0.5,44,22,0,1,,,,,,,,
mobe,1992,70,20,16.667,0.286,111.825,31.95,0,1,,,,,,,,
pere,1992,58,16,13.81,0.276,125.5,34.621,0,1,,,,,,,,
plin,1992,160,114,38.095,0.713,19.912,14.188,0,1,,,,,,,,
plpa,1992,420,189,100,0.45,41.862,18.838,2.425,0.976,,,,,,,,
scba,1992,930,777,221.429,0.835,1098.529,917.803,1423.93,0.135,,,,,,,,
