Group members,Property address,Property value Zestimate ($),Property lot size (site area) (ft2),Latitude (decimal degrees),Longitude (decimal degrees),"Yard type (xeriscaped=1,lawn=5)",Number of species (trees),Number of species (shrubs),Number of species (succulents)
"Aidan, Joseph, Noah, Sydney",4307 W Jupiter Way,540757,19166,33.29954,-111.91804,2,3,7,5
"Aidan, Joseph, Noah, Sydney",5 S Stellar Way,856764,22215,33.303409,-111.918586,2,2,7,2
"Aidan, Joseph, Noah, Sydney",3815 W Butler Street,224524,6098,33.301029,-111.906677,0,0,0,0
"Aidan, Joseph, Noah, Sydney",3658 W Butler Street,254771,7405,33.300473,-111.905482,4,2,0,1
"Aidan, Joseph, Noah, Sydney",4630 W Geronimo Street,338698,6534,33.2927,-111.92147,1,1,2,2
"Aidan, Joseph, Noah, Sydney","130 E Vista Del Cerro Dr Tempe, AZ 85281","365,245",14810,33.403229,-111.923355,5,4,1,2
"Aidan, Joseph, Noah, Sydney","124 E Vista Del Cerro Dr Tempe, AZ 85281","360,300",19602,33.410092,111.939173,3,5,5,0
"Aidan, Joseph, Noah, Sydney","120 E Vista Del Cerro Dr Tempe, AZ 85281","369,884",13939,33.409875,111.939183,5,6,13,11
"Aidan, Joseph, Noah, Sydney","116 E Vista Del Cerro Dr Tempe, AZ 85281","376,418",10293,33.409659,-111.939199,5,3,2,2
"Aidan, Joseph, Noah, Sydney","112 E Vista Del Cerro Dr Tempe, AZ 85281","327,212",9409,33.409442,-111.939222,5,2,3,2
"Aidan, Joseph, Noah, Sydney",33188 N 83rd St Scottsdale AZ 85266,"1,088,416","50,965",33.786348,-111.90259,1,4,4,15
"Aidan, Joseph, Noah, Sydney",33290 N 83rd St Scottsdale AZ 85266,"693,558","94,961",33.787432,-111.90256,1,4,5,7
"Aidan, Joseph, Noah, Sydney","8221 E Smokehouse Trl Scottsdale, AZ 85266","719,394","66,647",33.78748,-111.90335,1,3,3,10
"Aidan, Joseph, Noah, Sydney","8201 E Smokehouse Trl Scottsdale, AZ 85266","1,524,991","43,560",33.78748,-111.90335,1,3,5,7
"Aidan, Joseph, Noah, Sydney","8151 E Smokehouse Trl Scottsdale, AZ 85266","422,300","43,560",33.788055,-111.90527,1,3,4,6
"Aidan, Joseph, Noah, Sydney","232 N Cottonwood Dr Gilbert, AZ 85234","382,490","9,574",33.35472,-111.78473,1,3,5,1
"Aidan, Joseph, Noah, Sydney","238 N Cottonwood Dr Gilbert, AZ 85234","499,895","304,920 (Which is Wrong) ",33.35475,-111.78502,3,1,4,0
"Aidan, Joseph, Noah, Sydney","244 N Cottonwood Dr Gilbert, AZ 85234","361,438","6,879",33.35474,-111.78527,3,1,7,0
"Aidan, Joseph, Noah, Sydney","233 N Cottonwood Dr Gilbert, AZ 85234","365,781","7,706",33.35514,-111.78465,3,2,5,0
"Aidan, Joseph, Noah, Sydney","231 N Cottonwood Dr Gilbert, AZ 85234",362117,7758,33.355049,-111.784416,4,2,3,0
"Aylin, Berny, Maddie, Sofia","6305 W Oraibi Dr Glendale, AZ","338,927","7,300",33.662273,-112.19581,1,4,3,2
"Aylin, Berny, Maddie, Sofia","6311 W Oraibi Dr Glendale, AZ","391,926","7,737",33.662354,-112.196016,1,16,9,1
"Aylin, Berny, Maddie, Sofia","6317 W Oraibi Dr Glendale, AZ","321,761","7,217",33.662419,-112.196223,1,12,15,15
"Aylin, Berny, Maddie, Sofia","6308 W Oraibi Dr Glendale, AZ","301,127","8,385",33.662748,-112.195716,3,5,13,0
"Aylin, Berny, Maddie, Sofia","6304 W Oraibi Dr Glendale, AZ","357,647","9,322",33.662683,-112.19554,1,0,0,9
"Bradley, Allison, Ryan",1715 North Sunset Dr. ,"340,899",9426,33.448448,-111.927696,3,5,4,2
"Bradley, Allison, Ryan",1707 North Sunset Drive,"388,754",8159,33.448406,-111.927699,1,2,2,3
"Bradley, Allison, Ryan",1704 North Sunset Drive,"362,394",8181,33.448396,-111.927897,1,2,1,8
"Bradley, Allison, Ryan",1637 North Sunset Drive,"326,282",7706,33.447644,-111.927692,4,0,2,1
"Bradley, Allison, Ryan",1636 North Sunset Drive,"383,674",7545,33.447643,-111.927889,4,1,2,2
