Group members,Property address,Property value Zestimate ($),Property lot size (site area) (ft2),Latitude (decimal degrees),Longitude (decimal degrees),"Yard type (xeriscaped=1,lawn=5)",Number of species (trees),Number of species (shrubs),Number of species (succulents)
"Bradley, Allison, Ryan",1631 North Sunset Drive,"301,582",7597,33.447597,-111.927692,3,2,3,0
"Bradley, Allison, Ryan",1625 North Sunset Drive,"350,673",7943,33.44755,33.44755,2,0,2,1
"Bradley, Allison, Ryan",6423 West Christy Drive,"215,205",4356,33.583506,-112.197597,1,0,2,0
"Bradley, Allison, Ryan",6427 West Christy Drive,"194,879","4,830",33.5836457,-112.1974419,1,2,0,0
"Bradley, Allison, Ryan",6435 West Christy Drive,"194,949","8,093",33.5836347,-112.1977213,1,2,10,0
"Bradley, Allison, Ryan",6313 West Christy Drive,"191,998","5,459",33.5836635,-112.195579,2,1,0,0
"Bradley, Allison, Ryan",6317 West Christy Drive,"194,994","4,300",33.5836209,-112.1956954,1,2,0,0
"Bradley, Allison, Ryan",6325 West Christy Drive,"169,720",4905,33.5836263,-112.1959981,2,2,10,0
"Emily, Naomie, Oliva, Gwen","18704 E Mary Ann Way, Queen Creek, AZ","483,744","41,817",33.21359,-111.6794,1,2,1,8
"Emily, Naomie, Oliva, Gwen","18646 E Mary Ann Way Queen Creek, AZ 85142","352,205","42,253",33.21359,-111.67989,3,2,5,0
"Emily, Naomie, Oliva, Gwen","18632 E Mary Ann Way Queen Creek, AZ 85142","378,837","42,253",33.21359,-111.68037,3,2,1,0
"Emily, Naomie, Oliva, Gwen","18618 E Mary Ann Way Queen Creek, AZ 85142","372,279","42,253",33.213589,-111.680862,2,2,3,1
"Emily, Naomie, Oliva, Gwen","18602 E Mary Ann Way Queen Creek, AZ 85142","386,489","43,560",33.21312,-111.6817,5,1,0,0
"Emily, Naomie, Oliva, Gwen","11883 W Monte Vista Rd, Avondale, AZ 85392 ","255,130",7832,33.4685696,-112.3157203,3,1,2,0
"Emily, Naomie, Oliva, Gwen","11875 W Monte Vista Rd, Avondale, AZ 85392","258,781",8155,33.4591847,-112.3202142,1,3,5,1
"Emily, Naomie, Oliva, Gwen","11867 W Monte Vista Rd, Avondale, AZ 85392","239,536",8480,33.4591847,-112.3202142,3,2,2,1
"Emily, Naomie, Oliva, Gwen","11859 W Monte Vista Rd, Avondale, AZ 85392","278,412",8804,33.4591847,-112.3202142,3,1,1,0
"Emily, Naomie, Oliva, Gwen","11851 W Monte Vista Rd, Avondale, AZ 85392","278,888",8476,33.4684641,-112.3153356,1,2,2,1
"Emily, Naomie, Oliva, Gwen","1108 E Concorda Drive, Tempe, AZ","219,725","7,096",33.402968,-111.921848,1,0,0,0
"Emily, Naomie, Oliva, Gwen","1107 E Concorda Drive, Tempe, AZ","302,002","6,686",33.402599,-111.921887,2,2,2,2
"Emily, Naomie, Oliva, Gwen","1051 E Concorda Drive, Tempe, AZ","263,814","6,675",33.402547,-111.922333,2,1,4,3
"Emily, Naomie, Oliva, Gwen","1033 E Concorda Drive, Tempe, AZ","262,630","7,052",33.402592,-111.923022,1,1,1,0
"Emily, Naomie, Oliva, Gwen","1021 E Concorda Drive, Tempe, AZ","264,543","6,460",33.402565,-111.923469,3,2,2,0
"Emily, Naomie, Oliva, Gwen","1715 E Olive Ave, Gilbert, AZ 85234","314,254","6,072",33.365841,-111.752164,1,1,1,4
"Emily, Naomie, Oliva, Gwen","933 N John Way, Chandler, AZ 85225","361,548","9,152",33.320123,-111.811527,1,2,2,2
"Emily, Naomie, Oliva, Gwen","981 N Danyell Dr, Chandler, AZ 85225","322,637","7,213",33.320107,-111.810185,1,1,6,62
"Emily, Naomie, Oliva, Gwen","3441 E Baranca Ct, Gilbert, AZ 85297","328,766","7,699",33.265949,-111.715285,2,1,8,0
"Emily, Naomie, Oliva, Gwen","725 E Brooks St, Chandler, AZ 85225","235,033","13,068",33.33.4426,-111.829053,3,4,1,0
"Jeff, Alex, Ryan, Francisco","2353 S Tucana Ln, Gilbert, AZ 85295","275,053","8,050",33.307768,-111.724988,2,1,3,0
"Jeff, Alex, Ryan, Francisco","2343 S Tucana Ln, Gilbert, AZ 85295","268,060","8,049",33.307682,-111.724983,4,3,4,2
"Jeff, Alex, Ryan, Francisco","2333 S Tucana Ln, Gilbert, AZ 85295","260,498","8,050",33.307618,-111.725021,4,2,1,1
"Jeff, Alex, Ryan, Francisco","2323 S Tucana Ln, Gilbert, AZ 85295","277,965","8,050",33.308796,-111.72501,4,1,3,0
"Jeff, Alex, Ryan, Francisco","2313 S Tucana Ln, Gilbert, AZ 85295","287,332","8,050",33.308666,-111.725014,5,3,4,1
"Jeff, Alex, Ryan, Francisco","4240 S Avocet St, Gilbert, AZ","282,185","3,166",33.312412,-111.698997,3,1,5,0
"Jeff, Alex, Ryan, Francisco","4238 S Avocet St, Gilbert, AZ","249,268","3,168",33.312413,-111.699,3,2,5,0
"Jeff, Alex, Ryan, Francisco","4248 E Carla Vista Dr, Gilbert, AZ","254,610","3,762",33.311892,-111.698581,3,1,6,0
"Jeff, Alex, Ryan, Francisco","4249 E Carla Vista Dr, Gilbert, AZ","251,300","3,023",33.311599,-111.698509,4,1,4,0
"Jeff, Alex, Ryan, Francisco","4265 E Carla Vista Dr, Gilbert, AZ","258,934","3,024",33.311613,-111.698199﻿,4,2,2,0
"Jennifer, Austin, Makena, Edgar","2428 W Naranja Ave., Mesa, AZ 85202",294978,8228,33.36444,-111.8864,1,1,6,1
"Jennifer, Austin, Makena, Edgar","2225 W Keating Dr., Mesa, AZ 85202",378583,10084,33.36555,-111.8811,1,1,0,5
"Jennifer, Austin, Makena, Edgar","2425 S El Dorado, Mesa, AZ 85202",802978,18295,33.37113,-111.8864,3,2,1,0
"Jennifer, Austin, Makena, Edgar","2064 W Obispo Ave., Mesa, AZ",245369,7252,33.36217,-111.8787,1,2,0,0
"Jennifer, Austin, Makena, Edgar","2222 W Portobello Ave., Mesa, AZ 85202",246007,8258,33.35984,-111.8813,1,0,0,4
"Jennifer, Austin, Makena, Edgar","2524 E Patricia St., Phoenix, AZ 85042",307921,1045440,33.36723,-112.02827,1,2,0,3
"Jennifer, Austin, Makena, Edgar","2614 E Winston Dr., Phoenix, AZ 85042",404028,35283.6,33.36934,-112.02682,2,2,7,2
"Jennifer, Austin, Makena, Edgar","2528 E Winston Dr., Phoenix, AZ 85042",378320,46609.2,33.36935,-112.02813,4,1,4,0
"Jennifer, Austin, Makena, Edgar","2442 E Winston Dr., Phoenix, AZ 85042",282156,37026,33.36938,-112.02951,2,1,6,1
"Jennifer, Austin, Makena, Edgar","2421 E Winston Dr., Phoenix, AZ 85042",139745,6508,33.36911,-112.03039,2,2,6,4
"Jennifer, Austin, Makena, Edgar","9 W Vista Ave., Phoenix, Arizona 85021",1098945,15246,33.546401,-112.074083,4,1,3,1
"Jennifer, Austin, Makena, Edgar","102 E Hayward Ave., Phoenix, Arizona 85020",672240,16988,33.549675,-112.072709,5,1,4,0
"Jennifer, Austin, Makena, Edgar","8101 N Central Ave. #14, Phoenix, Arizona 85020",296993,3798,33.555327,-112.073995,5,2,4,1
"Jennifer, Austin, Makena, Edgar","8101 N Central Ave. #4, Phoenix, Arizona 85020",301425,2709,33.555327,-112.073995,5,2,5,0
"Jennifer, Austin, Makena, Edgar","215 W El Camino Dr., Phoenix, Arizona 85021",639000,10084,33.557421,-112.079093,5,4,5,0
"Jennifer, Austin, Makena, Edgar","242 W Royal Palm Rd., Phoenix, Arizona 85021",675000,10140,33.555882,-112.077652,5,3,0,1
"Jennifer, Austin, Makena, Edgar","115 W 11th St., Tempe, AZ, 85281",402743,5500,33.41746,-111.9422118,5,2,2,7
"Jennifer, Austin, Makena, Edgar","1021 S Ash Ave., Tempe, AZ, 85281",373646,9579,33.4181272,-111.9422118,5,0,7,0
"Jennifer, Austin, Makena, Edgar","1015 S Ash Ave., Tempe, AZ, 85281",394564,9579,33.4181272,-111.9422118,5,1,6,4
"Jennifer, Austin, Makena, Edgar","123 10th St., Tempe, AZ, 85281",238280,932,33.4187555,-111.942048,1,5,1,2
"Jennifer, Austin, Makena, Edgar","961 S Ash Ave., Tempe, AZ, 85281",293041,5805,33.4194694,-111.9421652,5,1,4,0
"Jessica, Maria, Josean, Morgan","6310 E Exeter Blvd Scottsdale, AZ 85251","1,544,338","36,155",33.49864,-111.945284,5,0,7,0
"Jessica, Maria, Josean, Morgan","6301 E Exeter Blvd Scottsdale, AZ 85251","2,571,829","24,394",33.498131,-111.945174,5,8,5,2
"Jessica, Maria, Josean, Morgan","6319 E Exeter Blvd Scottsdale, AZ 85251","2,304,476","24,829",33.498051,-111.944727,5,5,2,0
"Jessica, Maria, Josean, Morgan","6320 E Exeter Blvd Scottsdale, AZ 85251","4,284,212","36,155",33.498613,-111.944586,5,4,3,1
"Jessica, Maria, Josean, Morgan","6327 E Exeter Blvd Scottsdale, AZ 85251","1,448,535","23,958",33.498159,-111.944205,5,4,7,0
"Jessica, Maria, Josean, Morgan","6330 E Exeter Blvd Scottsdale, AZ 85251","2,256,594","40,511",33.498718,-111.94388,5,3,5,0
"Jessica, Maria, Josean, Morgan","6339 E Exeter Blvd Scottsdale, AZ 85251","2,299,546","23,958",33.498107,-111.9437,5,5,8,0
"Jessica, Maria, Josean, Morgan","6331 E Montecito Dr. Scottsdale, AZ 85251","2,899,217","40,511",33.49925,-111.943867,5,3,4,4
"Jessica, Maria, Josean, Morgan","6320 E Montecito Ave Scottsdale, AZ 85251","$1,812,372","38,333",33.49988,-111.94439,5,5,9,1
"Jessica, Maria, Josean, Morgan","6321 E Monecito Ave Scottsdale, AZ 85251","1,969,691","36,155",33.49919,-111.94454,5,5,4,0
"Jessica, Maria, Josean, Morgan","6310 E Montecito Ave Scottsdale, AZ 85251","2,124,626","38,333",33.49987,-111.94497,5,6,7,0
"Jessica, Maria, Josean, Morgan","6311 E Montecito Ave Scottsdale, AZ 85251","3,316,482","36,155",33.49918,-111.94521,5,5,8,0
"Jessica, Maria, Josean, Morgan","6248 E Montecito Ave Scottsdale, AZ 85251","2,098,129","38,333",33.49986,-111.94555,5,4,6,0
"Jessica,Maria,Josean,Morgan","6330 E Montecito Ave Scottsdale, AZ 85251","1,845,000","43,560",33.49989,-111.94377,5,4,0,0
"Xavier, Kyli, Lisa","9918 E. Edgewood Ave., Mesa, AZ 85208","226,856",3690,33.399189,-111.616722,2,1,6,0
"Xavier, Kyli, Lisa","9836 E. Escondido Ave., Mesa, AZ 85208","228,268",3826,33.400299,-111.617996,3,0,5,0
"Xavier, Kyli, Lisa","860 S. Cerise, Mesa, AZ 85208","243,604",5630,33.398788,-111.618843,2,2,3,0
"Xavier, Kyli, Lisa","9837 E. Emelita Ave., Mesa, AZ 85208","299,286",6600,33.39782,-111.618103,2,1,3,0
"Xavier, Kyli, Lisa","9917 E. Edgewood Ave., Mesa, AZ 85208","226,688",3690,33.398869,-111.616707,1,1,2,0
"Xavier, Kyli, Lisa","9832 E Emelita Ave., Mesa, AZ 85208","233,648",5600,33.39822,-111.618263,2,0,4,0
"Xavier, Kyli, Lisa","9816 E. Empress Ave., Mesa, AZ 85208","201,389",3658,33.39975,-111.618439,1,0,4,2
"Xavier, Kyli, Lisa","23701 w la canada blvd, Buckeye, Arizona, 85396","262,877",9086,33.448743,-112.561929,2,1,3,1
"Xavier, Kyli, Lisa","23964 w la canada blvd, buckeye, arizona, 85396",236619,8638,33.4488414,-112.5630482,2,1,8,0
"Xavier, Kyli, Lisa","23753 w la canada blvd, Buckeye, Arizona 85396",236498,5856,33.448474,-112.560901,2,3,4,2
"Xavier, Kyli, Lisa","23706 w la canada blvd, buckeye, arizona, 85396",236572,8125,33.448764,-112.561129,4,2,3,0
"Xavier, Kyli, Lisa","23718 w la canada blvd, buckeye, arizona, 85396",233758,9625,33.448726,-112.561043,4,2,4,0
"Xavier, Kyli, Lisa","23742 w la canada blvd, buckeye, arizona, 85396",237284,6050,33.448648,-112.560872,2,2,3,1
"Xavier, Kyli, Lisa","23745 w la canada blvd, buckeye, arizona, 85396",203206,5500,33.44854,-112.561053,2,1,4,1
"Xavier, Kyli, Lisa","1582 E. Morelos St. Chandler, AZ 85225",272981,10032,33.2955,-111.8137,5,2,0,0
"Xavier, Kyli, Lisa","1572 E. Morelos St. Chandler, AZ 85225",254570,8760,33.2955,-111.8139,1,0,2,2
"Xavier, Kyli, Lisa","1562 E. Morelos St. Chandler, AZ 85225",304169,8760,33.2955,-111.8142,2,2,4,4
"Xavier, Kyli, Lisa","1552 E. Morelos St. Chandler, AZ 85225",282340,8747,33.2955,-111.8144,2,3,3,2
"Xavier, Kyli, Lisa","1542 E. Morelos St. Chandler, AZ 85225",257266,8764,33.2955,-111.8147,2,2,1,4
"Xavier, Kyli, Lisa","1532 E. Morelos St. Chandler, AZ 85225",265330,10067,33.2955,-111.8149,1,0,1,5
"DJ, Niall, Carlos","1974 E San Carlos Pl Chandler, AZ 85249 ","459,516","10,002",33.23526,-111.80763,5,1,6,1
"DJ, Niall, Carlos","1973 E San Carlos Pl Chandler, AZ 85249","410,688","10,890",33.23478,-111.80757,1,2,5,0
"DJ, Niall, Carlos","1933 E San Carlos Pl Chandler, AZ 85249",441575,"10,064",33.23477,-111.80809,5,1,6,1
"DJ, Niall, Carlos","1954 E San Carlos Pl Chandler, AZ 85249",384489,"10,028",33.23525,-111.80788,4,1,5,0
"DJ, Niall, Carlos","1934 E San Carlos Pl Chandler, AZ 85249",372207,"10,890",33.23525,-111.80815,2,1,2,0
"DJ, Niall, Carlos","4901 S Soho Ln Chandler, AZ 85249","391,186","14,810",33.23519,-111.80709,3,1,3,0
"DJ, Niall, Carlos","1953 E San Carlos Pl Chandler, AZ 85249","371,108","10,206",33.23478,-111.80784,3,0,4,0
"Bradley, Allison, Ryan","5614 W Palo Verde Ave Glendale, AZ 85302","228,089",7200,33.572989,-112.179825,1,2,1,5
"Bradley, Allison, Ryan","5626 W Palo Verde Ave Glendale, AZ 85302","206,840",7122,33.572958,-112.180098,1,3,3,0
"Bradley, Allison, Ryan","5617 W Palo Verde Ave Glendale, AZ 85302","164,303",7275,33.572819,-112.179848,5,1,0,0
"Bradley, Allison, Ryan","5621 W Palo Verde Ave Glendale, AZ 85302","180,438",7283,33.572808,-112.17994,1,2,0,1
"Bradley, Allison, Ryan","5613 W Palo Verde Ave Glendale, AZ 85302","244,963",7200,33.57283,-112.179756,2,2,5,0
"Bradley, Allison, Ryan","5609 W Palo Verde Ave Glendale, AZ 85302","213,592",7279,33.572841,-112.179664,1,1,11,0
"Bradley, Allison, Ryan","5605 W Palo Verde Ave Glendale, AZ 85302","189,782",7253,33.572852,-112.179572,5,2,5,0
"Deidra, Eli, Morgan","7331 W Eva St. Peoria, AZ 85345",235042,"5,301",33.568559,-112.217062,1,1,0,0
"Deidra, Eli, Morgan","7347 W Mission Ln Peoria, AZ 85345",163597,"8,255",33.569966,-112.21858,1,0,0,0
"Deidra, Eli, Morgan","7138 W Cochise Dr Peoria, AZ 85345",194298,"7,087",33.580085,-112.212286,1,1,2,0
"Deidra, Eli, Morgan","7535 W Sunnyside Dr. Peoria, AZ 85345",221340,"6,560",33.59214,-112.221139,2,2,1,1
"Deidra, Eli, Morgan","13604 N 77th Ave Peoria, AZ 85381",402678,12196.8,33.608203,-112.224039,1,0,3,0
"Deidra, Eli, Morgan","7809 W Acoma Dr Peoria, AZ 85381",603391,50965.2,33.617458,-112.224791,5,3,2,1
"Deidra, Eli, Morgan","7934 W Acoma Dr Peoria, AZ 85381",1113030,45738,33.617504,-112.229614,5,1,4,0
"Annie, Aaron, Mickey","2303 W Estrella Dr Chandler, AZ 85224","279,549","7,131",33.332213,-111.880291,1,1,5,1
"Annie, Aaron, Mickey","2535 W Orchid Ln Chandler, AZ 85224","262,112","4,978",33.323609,-111.886548,1,1,2,1
"Annie, Aaron, Mickey","1432 N Benson Ct Chandler, AZ 85224","398,688","9,718",33.327885,-111.88914,5,2,2,1
"Annie, Aaron, Mickey","2405 W Harrison St Chandler, AZ 85224","1,040,509","33,105",33.315577,-111.886486,4,5,6,0
"Annie, Aaron, Mickey","2103 W Dublin Ln Chandler, AZ 85224","298,044","5,900",33.318369,-111.879466,3,2,6,0
"Annie, Aaron, Mickey","712 N Tamarisk St Chandler, AZ 85224","1,088,775","34,412",33.315478,-111.882495,1,4,6,1
"Annie, Aaron, Mickey","415 W Erie St Chandler, AZ 85225","173,117","7,680",33.309683,-111.846841,1,2,3,0
"Annie, Aaron, Mickey","983 W Fariway Dr Chandler, AZ 85225","285,827","6,372",33.299927,-111.858406,1,1,2,1
"Annie, Aaron, Mickey","782 W Folley St Chandler, AZ 85225","276,792","6,813",33.298368,-111.853475,1,1,6,4
"Annie, Aaron, Mickey","237 W Galveston St Chandler, AZ 85225","196,000","7,287",33.313318,-111.847229,1,1,0,0
"Annie, Aaron, Mickey","509 N Delaware St Chandler, AZ 85225","149,900","4,761",33.311877,-111.837592,1,1,0,1
"Annie, Aaron, Mickey","863 E Sheffield Ave Chandler, AZ 85225","313,900","4,815",33.324674,-111.825406,1,0,0,0
"Annie, Aaron, Mickey","2223 W Musket Pl Chandler, AZ 85286","639,900","130,680",33.278456,-111.879733,2,3,7,0
"Annie, Aaron, Mickey","230 W Flamingo Dr Chandler, AZ 85286","469,000","8,000",33.276219,-111.846444,3,1,5,0
"Annie, Aaron, Mickey","1493 S Chippewa Ct Chandler, AZ 85286","459,900","8,084",33.284085,-111.860412,1,2,5,0
"Annie, Aaron, Mickey","822 W Armstrong Way Chandler, AZ 85286","769,900","12,632",33.2804,-111.855282,1,3,7,0
"Annie, Aaron, Mickey","1532 S 108th Way Chandler, AZ 85286","499,999","19,166",33.282954,-111.848755,5,2,1,0
"Annie, Aaron, Mickey","2438 S Peacock Pl Chandler, AZ 85286","1,150,000","23,086",33.270548,-111.843065,4,5,8,3
"Annie, Aaron, Mickey","2850 S  Nebraska St Chandler, AZ 85286","374,900","8,285",33.264423,-111.846283,1,3,5,2
"Annie, Aaron, Mickey","3750 S Nash Way Chandler, AZ 85286","1,199,000","25,700",33.252214,-111.797573,4,2,6,0
"Jessica, Maria, Josean, Morgan","6210 E Exeter Blvd Scottsdale, AZ 85251","1,851,840",36154.8,33.4984076,-111.9471406,5,5,3,0
"Jessica, Maria, Josean, Morgan","6215 E Exeter Blvd Scottsdale, AZ 85251","3,070,711",28749.6,33.4982454,-111.9469854,5,10,3,0
"Jessica, Maria, Josean, Morgan","6220 E Exeter Blvd Scottsdale, AZ 85251","2,892,335",36154.8,33.4984122,-111.9467602,5,4,4,3
"Jessica, Maria, Josean, Morgan","6231E Exeter Blvd Scottsdale, AZ 85251","2,336,138",37461.6,33.4982533,-111.9462726,5,6,0,0
"Jessica, Maria, Josean, Morgan","6230 E Exeter Blvd Scottsdale, AZ 85251","7,294,729",36154.8,33.4984173,-111.9462746,5,6,6,0
"Jessica, Maria, Josean, Morgan","6241 E Exeter Blvd Scottsdale, AZ 85251","1,767,714",20908.8,33.4982542,-111.9461789,5,5,4,0
"Andy, Teddy, Haleigh","554 W 19th St. Tempe AZ, 85281",310000,7475,33.408908,-111.947596,1,1,1,3
"Andy, Teddy, Haleigh","550 W 19th St. Tempe AZ, 85281",306023,7366,33.408909,-111.947357,1,1,4,0
"Andy, Teddy, Haleigh",544 W 19th St. Tempe AZ 85281,154300,6998,33.408908,-111.946997,3,3,1,1
"Andy, Teddy, Haleigh",534 W 19th St. Tempe AZ 85281,340800,6978,33.408908,-111.946398,4,2,2,0
"Andy, Teddy, Haleigh",506 W 19th St. Tempe AZ 85281,316084,7361,33.408908,-111.94472,1,1,0,1
"Andy, Teddy, Haleigh",502 W 19th St. Tempe AZ 85281,246000,7593,33.408908,-111.94448,1,1,0,0
"Andy, Teddy, Haleigh",503 W 19th St. Tempe AZ 85281,186000,7945,33.408665,-111.944472,1,0,3,0
"Andy, Teddy, Haleigh",507 W 19th St. Tempe AZ 85281,284600,7697,33.408665,-111.944723,3,1,3,0
"Andy, Teddy, Haleigh",535 W 19th St. Tempe AZ 85281,317598,7693,33.408665,-111.946482,1,2,3,0
"Andy, Teddy, Haleigh",553 W 19th St. Tempe AZ 85281,343973,7762,33.408665,-111.947613,1,1,2,1
"Aylin, Berney, Maddie, Sofia","1410 E Williams St, Tempe AZ 85281","328,234","10,145",33.412601,-111.914257,3,6,2,3
"Aylin, Berney, Maddie, Sofia","1430 E Williams St, Tempe AZ 85281","300,012","9,936",33.412742,-111.91534,2,4,2,4
"Aylin, Berney, Maddie, Sofia","1508 E Williams St, Tempe AZ 85281","271,513","10,502",33.41267,-111.913979,5,4,2,1
"Aylin, Berney, Maddie, Sofia",1532 E Williams St  Tempe AZ 85281,"279,873","10,498",33.412671,-111.913611,5,2,3,0
"Aylin, Berney, Maddie, Sofia",1447 E Cedar St Tempe AZ 85281,"281,401","10,280",33.411579,-111.91507,3,2,5,1
"Aylin, Berney, Maddie, Sofia",12208 w Pima St Avondale AZ 85323,"207,793","4,944",33.424406,-111.958932,3,1,5,2
"Aylin, Berney, Maddie, Sofia",12212 w Pima St Avondale AZ 85323,"220,502","5,148",33.4244057,-111.9589318,3,3,4,0
"Aylin, Berney, Maddie, Sofia",12216 w pima st avondale AZ 85323,"236,723","5,246",33.432168,-112.321616,1,2,7,1
"Aylin, Berney, Maddie, Sofia",12204 w pima st avondale AZ ,"234,848","5,452",33.4321665,-112.3220053,3,2,3,0
"Aylin, Berney, Maddie, Sofia",12232 w pima st avondale AZ,"234,700","5,387",33.4321634,112.3228673,3,1,7,0
"Niall, DJ, Carlos",1344 E Lemon St Tempe AZ 85281,"263,511","1,080",33.417122,-111.91529,3,2,1,0
"Niall, DJ, Carlos",1340 E Lemon St Tempe AZ 85281,"270,565","1,289",33.417118,-111.915703,2,1,0,1
"Niall, DJ, Carlos",1336 E Lemon St Tempe AZ 85281,"301,787",972,33.417131,-111.915703,4,2,7,0
"Niall, DJ, Carlos",1332 E Lemon St Tempe AZ 85281,"258,313","1,080",33.417131,-111.915939,2,2,8,5
"Niall, DJ, Carlos",1328 E Lemon St Tempe AZ 85281,"263,753","1,080",33.417138,-111.916111,2,1,3,4
"Niall, DJ, Carlos",1324 E Lemon St Tempe AZ 85281,"304,889","1,614",33.417128,-111.916331,1,1,1,0
"Niall, DJ, Carlos",1320 E Lemon St Tempe AZ 85281,"266,562","1,080",33.417133,-111.916555,2,2,2,9
"Niall, DJ, Carlos",1831 E Hayden Lane Tempe AZ 85281,268402,7443,33.41871,-111.90731,2,3,2,1
"Niall, DJ, Carlos",1887 E Hayden Lane Tempe AZ 85281,317820,18295,33.41866,-111.90574,5,0,1,0
"Niall, DJ, Carlos",2020 E 10th St Tempe AZ 85281,207643,6438,33.41929,-111.89955,1,1,0,1
"Niall, DJ, Carlos",2050 E 10th St Tempe AZ 85281,214481,6630,33.41922,-111.89827,1,2,1,0
"Niall, DJ, Carlos",2038 E Orange St Tempe AZ 85281,217938,6935,33.41861,-111.89881,2,1,4,0
"Niall, DJ, Carlos",2014 E Orange St Tempe AZ 85281,214750,6499,33.41861,-111.89979,2,3,2,0
"Andy, Teddy, Haleigh",7262 E Baker Dr Scottsdale AZ 85266,"1,946,281",70131.6,33.75723,-111.92353,5,5,3,5
"Andy, Teddy, Haleigh",7280 E Baker Dr Scottsdale AZ 85266,1319017,54014.4,33.75724,-111.92289,5,1,5,6
"Andy, Teddy, Haleigh",7281 E Baker Dr Scottsdale AZ 85266 ,970079,31363.2,33.75631,-111.92289,5,3,3,1
